date,type,stock,shares,price,amount,pnl,return
2025-12-22,SELL,SZSE.300751,308,161.02,49594.16,-320.3199999999997,-0.6417376280389964
2025-12-22,BUY,SHSE.688270,444,112.49,49945.56,,
2025-12-22,BUY,SHSE.600151,2802,17.84,49987.68,,
2025-12-22,BUY,SZSE.301205,288,173.1,49852.799999999996,,
2025-12-22,BUY,SHSE.600879,2871,17.41,49984.11,,
2025-12-23,SELL,SZSE.003031,664,76.71,50935.439999999995,969.439999999995,1.940199335548165
2025-12-23,SELL,SZSE.002149,1458,38.72,56453.759999999995,6458.939999999995,12.919218431029456
2025-12-23,SELL,SHSE.600118,887,60.11,53317.57,3370.5999999999985,6.7483573077606
2025-12-23,SELL,SZSE.000950,7323,6.687795,48974.722785000005,-1020.3135899999907,-2.040829778274156
2025-12-23,BUY,SHSE.688270,462,108.1,49942.2,,
2025-12-23,BUY,SZSE.002536,1572,31.79,49973.88,,
2025-12-23,BUY,SZSE.301205,268,186.39,49952.52,,
2025-12-23,BUY,SHSE.603698,1616,30.93,49982.88,,
2025-12-24,SELL,SZSE.002149,1325,42.0,55650.0,5671.0,11.346765641569467
2025-12-24,SELL,SHSE.688270,442,114.2,50476.4,534.820000000007,1.070891229312343
2025-12-24,SELL,SHSE.600879,2767,16.92,46817.64000000001,-3182.0499999999956,-6.36413945766463
2025-12-24,SELL,SHSE.603698,1820,34.02,61916.40000000001,11921.000000000007,23.844193665817272
2025-12-24,BUY,SZSE.002149,1190,42.0,49980.0,,
2025-12-24,BUY,SZSE.002536,1607,31.11,49993.77,,
2025-12-24,BUY,SZSE.301205,277,180.29,49940.329999999994,,
2025-12-24,BUY,SZSE.002837,449,111.17,49915.33,,
2025-12-25,BUY,SZSE.002536,1490,33.55,49989.49999999999,,
2025-12-25,BUY,SZSE.002149,1082,46.2,49988.4,,
2025-12-25,BUY,SHSE.688270,374,133.5,49929.0,,
2025-12-25,BUY,SZSE.301205,280,178.39,49949.2,,
2025-12-26,BUY,SHSE.688387,4115,12.15,49997.25,,
2025-12-26,BUY,SHSE.600118,625,80.0,50000.0,,
2025-12-26,BUY,SHSE.600179,7633,6.55,49996.15,,
2025-12-26,BUY,SZSE.002149,1068,46.78,49961.04,,
2025-12-29,SELL,SZSE.002837,449,109.32,49084.68,-830.6500000000015,-1.6641180174507553
2025-12-29,SELL,SZSE.301205,277,171.6,47533.2,-2407.1299999999974,-4.82001220256254
2025-12-29,SELL,SZSE.002536,1607,31.08,49945.56,-48.20999999999913,-0.0964320154291265
2025-12-29,SELL,SZSE.002149,1190,44.71,53204.9,3224.9000000000015,6.452380952380965
2025-12-29,SELL,SHSE.603698,1616,37.11,59969.76,9986.880000000005,19.980601357904938
2025-12-29,SELL,SZSE.301205,268,171.6,45988.799999999996,-3963.720000000001,-7.934975052309667
2025-12-29,SELL,SZSE.002536,1572,31.08,48857.759999999995,-1116.1200000000026,-2.233406731676635
2025-12-29,SELL,SHSE.688270,462,128.14,59200.67999999999,9258.479999999996,18.538390379278447
2025-12-29,SELL,SHSE.600879,2871,19.28,55352.880000000005,5368.770000000004,10.740953475014358
2025-12-29,SELL,SZSE.301205,288,171.6,49420.799999999996,-432.0,-0.8665511265164683
2025-12-29,SELL,SHSE.600151,2802,18.29,51248.579999999994,1260.8999999999942,2.522421524663665
2025-12-29,SELL,SHSE.688270,444,128.14,56894.159999999996,6948.5999999999985,13.912347764245702
2025-12-29,BUY,SZSE.002149,1118,44.71,49985.78,,
2025-12-29,BUY,SZSE.301611,584,85.5,49932.0,,
2025-12-29,BUY,SHSE.600118,568,88.0,49984.0,,
2025-12-29,BUY,SHSE.600783,2154,23.21,49994.340000000004,,
2025-12-30,SELL,SZSE.301205,280,171.12,47913.6,-2035.5999999999985,-4.075340545994721
2025-12-30,SELL,SHSE.688270,374,121.0,45254.0,-4675.0,-9.363295880149813
2025-12-30,SELL,SZSE.002149,1082,43.0,46526.0,-3462.4000000000015,-6.926406926406936
2025-12-30,SELL,SZSE.002536,1490,32.06,47769.4,-2220.0999999999913,-4.44113263785394
2025-12-30,BUY,SZSE.301611,574,87.01,49943.740000000005,,
2025-12-30,BUY,SZSE.002837,441,113.2,49921.200000000004,,
2025-12-30,BUY,SZSE.300136,943,53.0,49979.0,,
2025-12-30,BUY,SHSE.600179,9107,5.49,49997.43,,
2025-12-31,SELL,SZSE.002149,1068,45.51,48604.68,-1356.3600000000006,-2.714835399743487
2025-12-31,SELL,SHSE.600179,7633,5.52,42134.159999999996,-7861.990000000005,-15.725190839694658
2025-12-31,SELL,SHSE.600118,625,94.95,59343.75,9343.75,18.687500000000014
2025-12-31,SELL,SHSE.688387,4115,12.9,53083.5,3086.25,6.172839506172845
2025-12-31,BUY,SZSE.002149,1098,45.51,49969.979999999996,,
2025-12-31,BUY,SHSE.688387,3875,12.9,49987.5,,
2025-12-31,BUY,SHSE.603698,1290,38.75,49987.5,,
2025-12-31,BUY,SZSE.002163,2097,23.84,49992.48,,
2026-01-05,SELL,SZSE.002163,2097,21.46,45001.62,-4990.860000000001,-9.983221476510062
2026-01-05,SELL,SHSE.603698,1290,38.4,49536.0,-451.5,-0.903225806451613
2026-01-05,SELL,SHSE.688387,3875,12.7,49212.5,-775.0,-1.5503875968992276
2026-01-05,SELL,SZSE.002149,1098,46.03,50540.94,570.9600000000064,1.1426060206548128
2026-01-05,SELL,SHSE.600179,9107,5.2,47356.4,-2641.029999999999,-5.282331511839711
2026-01-05,SELL,SZSE.300136,943,65.61,61870.229999999996,11891.229999999996,23.792452830188672
2026-01-05,SELL,SZSE.002837,441,106.0,46746.0,-3175.2000000000044,-6.360424028268552
2026-01-05,SELL,SZSE.301611,574,86.75,49794.5,-149.24000000000524,-0.2988162280197715
2026-01-05,SELL,SHSE.600783,2154,22.26,47948.04,-2046.300000000003,-4.093063334769498
2026-01-05,SELL,SHSE.600118,568,99.45,56487.6,6503.5999999999985,13.011363636363637
2026-01-05,SELL,SZSE.301611,584,86.75,50662.0,730.0,1.4619883040935644
2026-01-05,SELL,SZSE.002149,1118,46.03,51461.54,1475.760000000002,2.9523596510847794
2026-01-05,BUY,SHSE.603698,1302,38.4,49996.799999999996,,
2026-01-05,BUY,SHSE.600118,502,99.45,49923.9,,
2026-01-05,BUY,SHSE.600783,2246,22.26,49995.96000000001,,
2026-01-05,BUY,SZSE.300058,3617,13.82,49986.94,,
2026-01-06,BUY,SHSE.600783,2041,24.49,49984.09,,
2026-01-06,BUY,SHSE.688523,669,74.63,49927.469999999994,,
2026-01-06,BUY,SHSE.601698,1156,43.23,49973.88,,
2026-01-06,BUY,SZSE.301611,500,99.81,49905.0,,
2026-01-07,BUY,SHSE.600783,1855,26.94,49973.700000000004,,
2026-01-07,BUY,SHSE.600118,498,100.23,49914.54,,
2026-01-07,BUY,SZSE.301363,1203,41.56,49996.68,,
2026-01-07,BUY,SZSE.300136,746,67.01,49989.46000000001,,
2026-01-08,BUY,SZSE.300136,656,76.2,49987.200000000004,,
2026-01-08,BUY,SZSE.000559,2701,18.51,49995.51,,
2026-01-08,BUY,SZSE.300058,3320,15.06,49999.200000000004,,
2026-01-08,BUY,SHSE.600118,490,102.0,49980.0,,
2026-01-09,BUY,SHSE.601698,1020,48.98,49959.6,,
2026-01-09,BUY,SHSE.688523,627,79.62,49921.740000000005,,
2026-01-09,BUY,SZSE.300136,665,75.15,49974.75000000001,,
2026-01-09,BUY,SZSE.000559,2518,19.85,49982.3,,
2026-01-12,SELL,SZSE.300136,746,83.11,62000.06,12010.599999999991,24.02626473660647
2026-01-12,SELL,SZSE.301363,1203,39.41,47410.229999999996,-2586.4500000000044,-5.17324350336864
2026-01-12,SELL,SHSE.600118,498,116.66,58096.68,8182.139999999999,16.392297715254898
2026-01-12,SELL,SHSE.600783,1855,35.85,66501.75,16528.049999999996,33.07349665924275
2026-01-12,SELL,SZSE.301611,500,118.0,59000.0,9095.0,18.22462679090271
2026-01-12,SELL,SHSE.601698,1156,53.88,62285.280000000006,12311.400000000009,24.635669673837633
2026-01-12,SELL,SHSE.688523,669,90.76,60718.44,10790.970000000008,21.61329224172586
2026-01-12,SELL,SHSE.600783,2041,35.85,73169.85,23185.76000000001,46.38628011433239
2026-01-12,SELL,SZSE.300058,3617,20.62,74582.54000000001,24595.600000000006,49.2040520984081
2026-01-12,SELL,SHSE.600783,2246,35.85,80519.1,30523.14,61.05121293800539
2026-01-12,SELL,SHSE.600118,502,116.66,58563.32,8639.419999999998,17.30517848164905
2026-01-12,SELL,SHSE.603698,1302,48.4,63016.799999999996,13020.0,26.041666666666675
2026-01-12,BUY,SZSE.300058,2424,20.62,49982.880000000005,,
2026-01-12,BUY,SHSE.688523,550,90.76,49918.0,,
2026-01-12,BUY,SHSE.601698,927,53.88,49946.76,,
2026-01-12,BUY,SZSE.300136,601,83.11,49949.11,,
2026-01-13,SELL,SHSE.600118,490,121.52,59544.799999999996,9564.799999999996,19.137254901960787
2026-01-13,SELL,SZSE.300058,3320,20.85,69222.0,19222.799999999996,38.446215139442245
2026-01-13,SELL,SZSE.000559,2701,18.95,51183.95,1188.439999999995,2.377093462992974
2026-01-13,SELL,SZSE.300136,656,74.1,48609.6,-1377.6000000000058,-2.75590551181103
2026-01-13,BUY,SHSE.601698,1031,48.49,49993.19,,
2026-01-13,BUY,SZSE.301293,528,94.63,49964.64,,
2026-01-13,BUY,SZSE.002465,2066,24.2,49997.2,,
2026-01-13,BUY,SZSE.002195,4170,11.99,49998.3,,
2026-01-14,SELL,SZSE.000559,2518,18.79,47313.22,-2669.0800000000017,-5.3400503778337605
2026-01-14,SELL,SZSE.300136,665,75.3,50074.5,99.74999999999272,0.19960079840317668
2026-01-14,SELL,SHSE.688523,627,71.03,44535.81,-5385.930000000008,-10.788746546093952
2026-01-14,SELL,SHSE.601698,1020,43.64,44512.8,-5446.799999999996,-10.902409146590442
2026-01-14,BUY,SZSE.301171,614,81.32,49930.479999999996,,
2026-01-14,BUY,SHSE.600783,1408,35.5,49984.0,,
2026-01-14,BUY,SZSE.002195,3790,13.19,49990.1,,
2026-01-14,BUY,SZSE.002202,1497,33.38,49969.86,,
2026-01-15,BUY,SZSE.002195,4212,11.87,49996.439999999995,,
2026-01-15,BUY,SZSE.300058,2715,18.41,49983.15,,
2026-01-15,BUY,SZSE.300170,1631,30.65,49990.149999999994,,
2026-01-15,BUY,SHSE.688375,369,135.39,49958.909999999996,,
2026-01-16,BUY,SHSE.688387,2523,19.81,49980.63,,
2026-01-16,BUY,SHSE.688270,255,195.4,49827.0,,
2026-01-16,BUY,SHSE.688375,364,137.16,49926.24,,
2026-01-16,BUY,SZSE.300244,1978,25.27,49984.06,,
2026-01-19,SELL,SZSE.002202,1497,27.7,41466.9,-8502.96,-17.01617735170762
2026-01-19,SELL,SZSE.002195,3790,9.62,36459.799999999996,-13530.300000000003,-27.065959059893864
2026-01-19,SELL,SHSE.600783,1408,26.01,36622.08,-13361.919999999998,-26.732394366197177
2026-01-19,SELL,SZSE.301171,614,81.32,49930.479999999996,0.0,0.0
2026-01-19,SELL,SZSE.002195,4170,9.62,40115.399999999994,-9882.900000000009,-19.766472060050045
2026-01-19,SELL,SZSE.002465,2066,19.4,40080.399999999994,-9916.800000000003,-19.834710743801654
2026-01-19,SELL,SZSE.301293,528,80.88,42704.64,-7260.0,-14.530275811053572
2026-01-19,SELL,SHSE.601698,1031,39.79,41023.49,-8969.700000000004,-17.941843679109105
2026-01-19,SELL,SZSE.300136,601,78.25,47028.25,-2920.8600000000006,-5.8476717603176525
2026-01-19,SELL,SHSE.601698,927,39.79,36885.33,-13061.43,-26.15070527097254
2026-01-19,SELL,SHSE.688523,550,66.17,36393.5,-13524.5,-27.09343323049802
2026-01-19,SELL,SZSE.300058,2424,16.91,40989.840000000004,-8993.04,-17.992240543161987
2026-01-19,BUY,SZSE.300244,1951,25.62,49984.62,,
2026-01-19,BUY,SHSE.688387,2619,19.09,49996.71,,
2026-01-19,BUY,SZSE.301171,614,81.32,49930.479999999996,,
2026-01-19,BUY,SZSE.002131,4807,10.4,49992.8,,
2026-01-20,SELL,SHSE.688375,369,126.9,46826.1,-3132.8099999999977,-6.270773321515611
2026-01-20,SELL,SZSE.300170,1631,26.31,42911.61,-7078.539999999994,-14.159869494290378
2026-01-20,SELL,SZSE.300058,2715,17.78,48272.700000000004,-1710.449999999997,-3.4220532319391594
2026-01-20,SELL,SZSE.002195,4212,9.54,40182.479999999996,-9813.96,-19.629317607413654
2026-01-20,BUY,SZSE.002131,4807,10.4,49992.8,,
2026-01-20,BUY,SZSE.301171,768,65.06,49966.08,,
2026-01-20,BUY,SHSE.601179,3198,15.63,49984.740000000005,,
2026-01-20,BUY,SZSE.002716,4032,12.4,49996.8,,
2026-01-21,SELL,SZSE.300244,1978,26.46,52337.880000000005,2353.820000000007,4.709141274238227
2026-01-21,SELL,SHSE.688375,364,122.77,44688.28,-5237.959999999999,-10.491396908719741
2026-01-21,SELL,SHSE.688270,255,173.56,44257.8,-5569.199999999997,-11.1770726714432
2026-01-21,SELL,SHSE.688387,2523,17.55,44278.65,-5701.979999999996,-11.408379606259455
2026-01-21,BUY,SHSE.688525,262,190.36,49874.32000000001,,
2026-01-21,BUY,SZSE.002716,3665,13.64,49990.6,,
2026-01-21,BUY,SZSE.300244,1889,26.46,49982.94,,
